id,key,type,value
51765564,bridge,regular,yes
51765564,highway,regular,primary
51765564,layer,regular,1
51765564,maxspeed,regular,40
51765564,name,regular,J.B.S. Haldane Avenue
51765564,oneway,regular,yes
51765570,passenger_lines,regular,2
51765570,railway,regular,rail
51765570,source,regular,Yahoo hires
51765571,bridge,regular,yes
51765571,layer,regular,1
51765571,passenger_lines,regular,2
51765571,railway,regular,rail
51765571,source,regular,Yahoo hires
51766057,highway,regular,primary
51766057,lanes,regular,3
51766057,name,regular,Rash Behari Avenue Connector
51766057,oneway,regular,yes
52088484,bridge,regular,yes
52088484,highway,regular,trunk
52088484,name,regular,Majherhat Bridge
52088484,ref,regular,NH12
52088484,old,ref,NH117
52088484,source,regular,Yahoo hires
52088485,highway,regular,trunk
52088485,oneway,regular,yes
52088485,ref,regular,NH12
52088485,old,ref,NH117
52088485,source,regular,Yahoo hires
52088487,highway,regular,trunk
52088487,name,regular,Diamond Harbour Road
52088487,ref,regular,NH12
52088487,old,ref,NH117
52088487,source,regular,Yahoo hires
52097603,historic,regular,fort
52097603,landuse,regular,military
52097603,name,regular,Fort William
52097603,zh,name,威廉堡
52097603,wikidata,regular,Q2750027
52097642,amenity,regular,hospital
52097642,name,regular,SSKM College and Hospital (PG)
52097988,bridge,regular,yes
52097988,highway,regular,trunk
52097988,layer,regular,1
52097988,name,regular,Taratala Flyover
52097988,oneway,regular,yes
52097988,ref,regular,NH12
52097988,old,ref,NH117
52097989,bridge,regular,yes
52097989,highway,regular,trunk
52097989,layer,regular,1
52097989,name,regular,Taratala Flyover
52097989,oneway,regular,yes
52097989,ref,regular,NH12
52097989,old,ref,NH117
52097991,highway,regular,trunk
52097991,oneway,regular,yes
52097991,ref,regular,NH12
52097991,old,ref,NH117
52098113,leisure,regular,park
52098113,name,regular,Alipore Zoo
52152626,highway,regular,trunk_link
52152626,maxspeed,regular,40
52152626,oneway,regular,yes
52152631,highway,regular,secondary
52152631,lanes,regular,2
52152631,name,regular,Khidderpur Road
52152631,oneway,regular,yes
52152631,surface,regular,paved
52152707,highway,regular,residential
52152707,name,regular,Alipore Park Road
52152707,surface,regular,asphalt
52152711,highway,regular,secondary
52152711,name,regular,Alipore Road
52152723,access,regular,yes
52152723,cycleway,regular,no
52152723,foot,regular,yes
52152723,highway,regular,trunk
52152723,lanes,regular,1
52152723,name,regular,Burdwan Road
52152723,oneway,regular,yes
52152723,ref,regular,NH12
52152723,old,ref,NH117
52152723,surface,regular,paved
52152729,highway,regular,primary
52152729,name,regular,Diamond Harbour Road
52152729,zh,name,戴蒙德路
52152729,source,regular,Yahoo hires
52152759,highway,regular,secondary
52152759,name,regular,Raja Santosh Road
52152772,highway,regular,secondary
52152772,name,regular,Alipore Road
52152789,highway,regular,secondary
52152789,maxspeed,regular,40
52152789,name,regular,Shapur Sarani
52152796,bridge,regular,yes
52152796,highway,regular,secondary
52152796,layer,regular,1
52152796,maxspeed,regular,40
52152797,highway,regular,secondary
52152797,maxspeed,regular,40
62082135,highway,regular,primary
62082135,maxspeed,regular,40
62082135,name,regular,Acharya Jagadish Chandra Bose Road
62082135,oneway,regular,yes
62082135,ref,regular,NH117
62082135,new,ref,N 12
62082135,surface,regular,asphalt
68459274,highway,regular,secondary
68459274,maxspeed,regular,40
68459274,name,regular,Bondel Road
77340695,cycleway,regular,no
77340695,foot,regular,yes
77340695,highway,regular,primary
77340695,lanes,regular,2
77340695,name,regular,Judges Court Road
77340695,oneway,regular,yes
77340695,surface,regular,paved
92642039,bicycle,regular,yes
92642039,bridge,regular,yes
92642039,highway,regular,trunk
92642039,layer,regular,1
92642039,maxspeed,regular,40
92642039,name,regular,Vidyasagar Setu
92642039,oneway,regular,yes
92642039,ref,regular,NH12
92642039,old,ref,NH117
92642062,bridge,regular,yes
92642062,layer,regular,1
92642062,name,regular,Kolkata Circular Railway
92642062,railway,regular,rail
92642065,name,regular,Kolkata Circular Railway
92642065,railway,regular,rail
92642067,bridge,regular,yes
92642067,highway,regular,footway
92642074,name,regular,Kolkata Circular Railway
92642074,passenger_lines,regular,1
92642074,railway,regular,rail
101741039,highway,regular,tertiary
101741039,name,regular,Swinhoe Lane
101741061,highway,regular,residential
101741063,highway,regular,residential
